,count,title,poster,release_date,over_view
43,43,로어: 세상을 향한 함성,/t/p/w94_and_h141_bestv2/bCpeyWbqzrWudMdqcsy9Hf1JcUW.jpg,"4월 15, 2022","화려한 출연진과 다양한 장르를 아우르는 이 문집 시리즈는 성 역할, 자율성, 정체성과 같은 주제를 새로운 시각으로 다룬 8편의 블랙 코미디 페미니스트 이야기로 엮여 있다."
44,44,"세모, 네모, 동그라미 모양 친구들",/t/p/w94_and_h141_bestv2/jjKXdP3ZgueaP1sut08GXIPqqCu.jpg,"1월 19, 2023","한 예쁜 섬에서 네모와 세모, 동그라미는 서로의 차이점을 극복하는 법을 배우며 모험과 공감대를 찾는다. 맥 바넷과 존 클라센의 국제 베스트셀러 동화책들을 기반으로 한다."
45,45,의사 그리고 나,/t/p/w94_and_h141_bestv2/6GntfIwANAouXvb2msnoKytwYbv.jpg,"11월 11, 2021",그저 조금 더 나은 삶을 살고 싶었던 것뿐인데. 도움을 받고자 찾아갔던 정신과 의사에게서 오히려 삶을 송두리째 빼앗겨 버린 마티. 30여 년 동안 자신의 인생을 잠식하고 파괴한 주치의의 악행을 깨닫는다. 실화를 바탕으로 긴장감 넘치는 심리 묘사를 그려냈다.
46,46,스웨거,/t/p/w94_and_h141_bestv2/uQUcWDagMCI8m96rko8zMK7SpHF.jpg,"10월 29, 2021",어려움을 극복하고 진정으로 당당해지기 위해 압박감의 늪을 헤쳐 나가야 하는 어느 농구 신동의 이야기
47,47,친애하는...,/t/p/w94_and_h141_bestv2/myMNJt2UeW1NuhUlpOXhOURO4sU.jpg,"6월  5, 2020",한 사람의 이야기가 세상을 바꾸기도 한다. 각 분야를 대표하는 인물들의 영향력은 세계 곳곳에 많은 사람들의 삶에 영감을 준다
48,48,작은 세상,/t/p/w94_and_h141_bestv2/5W3JUWqR9UdN5FTvhE3PAbWqG63.jpg,"10월  2, 2020",자연의 가장 작은 생명체들을 포착한 다큐멘터리 시리즈. 각 에피소드는 세상에 잘 알려지지 않은 작은 생명체들의 독특한 생존법과 경이로운 이야기를 생생하게 조명한다. 폴 러드 내레이션
49,49,리시 이야기,/t/p/w94_and_h141_bestv2/ge0Lk0fDBoFNGdtBXnIEaonyfTW.jpg,"6월  4, 2021",스티븐 킹의 소설을 원작으로 한 이 무서운 스릴러는 작가 스콧 랜던과의 결혼과 그를 괴롭혔던 어둠에 대한 기억을 되살리는 일련의 불온한 사건들로 미망인 리세이 랜던의 뒤를 잇는다.
50,50,우먼 인 더 워터,/t/p/w94_and_h141_bestv2/4Fsz8eeruaAZtqWWl3ldIiKq9tp.jpg,"7월 28, 2022","심각한 두부 손상을 입고 극심한 기억 상실로 고생하는 소피는 남편과 친구들의 도움으로 자신의 삶을 되찾는 여정에 나서지만, 흠잡을 데 없이 완벽한 삶이 과연 진실인지 의문을 품기 시작한다."
51,51,우주로 간 스누피,/t/p/w94_and_h141_bestv2/5ANLOZ6b8HfW5ytzeLPUR6Kc6VA.jpg,"11월  1, 2019",NASA 우주 비행사가 되는 꿈을 이루며 커다란 모험을 시작하는 스누피. 찰리 브라운과 친구들의 도움으로 스누피는 국제 우주 정거장에 도착해 임무를 수행하며 달과 우주를 탐험한다
52,52,카풀 노래방: 시리즈,/t/p/w94_and_h141_bestv2/bA6tpDMoyQO8fRmXC8sHh7LQoqW.jpg,"8월  8, 2017",정보 없음
