,Unnamed: 0,title,poster,release_date,over_view
23,23,사냥꾼들,/t/p/w94_and_h141_bestv2/rbtgorwuTBoAu0Qm5IvZoQl75WU.jpg,"2월 20, 2020","1977년 뉴욕시를 배경으로 하며, 나치 수백 명이 미국에서 살고 있다는 사실을 알게 된 다양한 나치 사냥꾼들의 이야기를 다룬다. 끝내주는 자경단이라면 으레 그러듯, 이들은 복수와 정의를 위해 피의 여정을 떠난다. 하지만 거대한 음모를 알게 된 이들은 곧 나치의 새로운 집단 학살 계획을 막기 위해 시간에 쫓기는 싸움을 한다."
24,24,"LOL : Qui rit, sort !",/t/p/w94_and_h141_bestv2/bpYaVvYqqUfutvLMXxWHhKgeMaj.jpg,"4월 23, 2021",정보 없음
25,25,엘 인테르나도: 라스 쿰브레스,/t/p/w94_and_h141_bestv2/kl07N07l4XNjXF48oujzWXs40Dw.jpg,"2월 19, 2021",정보 없음
26,26,S.O.Z: Soldados o Zombies,/t/p/w94_and_h141_bestv2/arYdHX708nDq6oWNOSjw6NczWc5.jpg,"8월  6, 2021",정보 없음
27,27,LOL: Last One Laughing,/t/p/w94_and_h141_bestv2/85Fx3ax4PLQlAODI1K8Kk0kAUdO.jpg,"12월 13, 2018",정보 없음
28,28,LOL: Last One Laughing,/t/p/w94_and_h141_bestv2/85Fx3ax4PLQlAODI1K8Kk0kAUdO.jpg,"4월  1, 2021",정보 없음
29,29,LOL: Last One Laughing,/t/p/w94_and_h141_bestv2/jQA2IDhvceXTIdRBg8e1i2zmfKh.jpg,"12월 13, 2018",정보 없음
30,30,LOL: Last One Laughing,/t/p/w94_and_h141_bestv2/jQA2IDhvceXTIdRBg8e1i2zmfKh.jpg,"4월  1, 2021",정보 없음
31,31,내가 예뻐진 그 여름,/t/p/w94_and_h141_bestv2/a8x9tynN9kcwhSHLMbuj1nl2mM7.jpg,"6월 16, 2022","매년 여름, 벨리와 가족들은 커즌즈에 있는 피셔스 가족의 해변 별장으로 향한다. 매년 똑같던 여름은 벨리가 16세가 되던 해에 달라진다. 관계가 시험대에 오르고, 고통스러운 진실이 드러나며, 벨리는 영원히 달라지고 만다. 첫사랑과 첫 실연, 그리고 성장의 여름이자, 벨리가 예뻐진 그 여름이다."
32,32,높은 성의 사나이,/t/p/w94_and_h141_bestv2/8FppCRUwU0ecL8UT0MB5AdOh6f1.jpg,"1월 15, 2015","2차 세계대전에서 만일 연합군이 패했다면? 이라는 가정을 토대로, 독일과 일본이 세계를 양분하여 지배하는 음울한 가상의 1960년대를 배경으로 다양한 인간 군상이 빚어내는 이야기."
33,33,Manes,/t/p/w94_and_h141_bestv2/lRTIqUI2LrZJ07ns311lXG1GSBe.jpg,"2월 15, 2023",정보 없음
