,count,title,poster,release_date,over_view
28,28,마이티 덕스: 게임 체인저,/t/p/w94_and_h141_bestv2/ohfKOxy4028jm2XQL7Wy6cVMKhm.jpg,"3월 26, 2021","미네소타의 마이티 덕스는 꼴찌에서 최강의 팀으로 등극한 청소년 하키팀이다. 12살이 된 에반 모로는 갑자기 덕스 팀에서 잘리고 에반과 에반 엄마, 알렉스는 별도의 팀을 꾸려 어떻게든 이기기만 된다는 청소년 스포츠 문화에 도전장을 내민다. 새 팀은 고든 봄베이의 도움으로 경기의 순수한 즐거움을 재발견하게 된다."
29,29,카지노,/t/p/w94_and_h141_bestv2/p5K6QPISAPuXXYg2bUjux5FMxeh.jpg,"12월 21, 2022",카지노의 왕이 된 한 남자! 모든 것을 잃은 후 생존과 목숨을 걸고 게임의 세계로 다시 복귀한다.
30,30,프라우드 패밀리: 라우더 앤 프라우더,/t/p/w94_and_h141_bestv2/15XxJQj2JEs2ehAX67FnNysV8C1.jpg,"2월 23, 2022","큰 사랑을 받았던 원작의 리부트인 '프라우드 패밀리: 라우더 앤 프라우더'는 14살이 된 사춘기 소녀 페니 프라우드와 그녀의 가족이 겪는 모험과 사고들을 유쾌하고 따뜻하게 풀어낸다. 2020년이 되어 엄마인 트루디는 커리어에 열중하고, 아빠인 오스카는 더 큰 꿈을 꾼다. 특히 페니는 새로운 인물을 만나게 되는데, 사회적으로 깨어 있고 페니에게 많은 것을 가르치려 하는 이웃과 권력을 남용하는 인플루언서도 등장한다. 페니의 친구들인 디조네이, 라시에네가, 조이, 마이클 등 반가운 얼굴들도 재등장한다. 페니의 할머니인 슈가 마마는 때로는 엄격하게 때로는 따뜻하게 페니를 키우려고 한다. 마야와 KG는 리부트에서 처음 나오는 인물들인데, 그들은 페니의 동네에 새로 이사 온 아이들로서 이 동네에서는 전례 없는 두 아빠를 둔 고충을 겪는다."
31,31,세상과 우리 사이에,/t/p/w94_and_h141_bestv2/kgmfnxNdJy9N4ejrBfrkf6iNSjq.jpg,"9월 14, 2022",일킨은 유명 배우인 남자 친구가 더는 자신을 사랑하지 않는다고 생각한다. 어느 날 일킨은 가짜 SNS 계정으로 그에게 메시지를 보내고 자신의  애인을 유혹할 수 있는 여자를 만들어 내기로 한다.
32,32,주토피아+,/t/p/w94_and_h141_bestv2/inzPPPr2BsE92m4rHhQn3sf2yPk.jpg,"11월  9, 2022","“주토피아+”는 주토피아의 바쁘게 움직이는 포유류의 대도시로 다시 돌아갑니다. 오스카상 수상작인 장편 영화의 내용 중에서 가장 흥미로운 주민들의 삶에 더 깊이 빠져들 수 있는 짧은 형식 시리즈입니다. 이 시리즈에는 패셔니스타 북극뒤쥐 프루프루의 이야기, 주토피아 경찰서 직원이면서 단 음식을 좋아하는 치타 클로하우저의 이야기, 그리고 놀라움의 연속인 웃는 얼굴의 나무늘보 플래시의 이야기가 포함돼 있습니다."
33,33,M파워,/t/p/w94_and_h141_bestv2/gscHqNHaRYp4GiqOgbe6R2EQOoW.jpg,"3월  8, 2023","캐럴 댄버스, 완다 막시모프에서 와칸다의 여성들, 가디언즈 오브 갤럭시에 이르기까지, 마블 코믹스로 탄생한 이 캐릭터들이 MCU와 그 이상으로 뻗어 나가는 여정을 'M파워'에서 따라가 본다. 또한 기록 영상과 상상력 넘치는 애니메이션, 솔직 담백한 인터뷰를 통해 이 캐릭터들과 그들의 성공 뒤에서 활약한 여성들이 전 세계의 팬들에게 어떤 감동을 주었는지 조명한다."
34,34,퀘스트: 에버렘을 수호하라,/t/p/w94_and_h141_bestv2/pzqCumJUXPTppdRCKhAizY9yfUm.jpg,"5월 11, 2022","""퀘스트""는 에버렘이라는 가상의 판타지 세계에 8명의 실제 십 대 아이들을 떨어뜨리고, 그들이 고대의 예언에 따라 왕국을 구하는, 획기적인 몰입형 경연 시리즈이다. 8개의 에피소드로 구성된 시리즈 내내 이 영웅들은 성, 왕족, 신비로운 운명의 여신들, 파괴와 권력을 노리는 사악한 마법사가 실제로 존재하는 판타지 세계에 푹 빠진다."
35,35,천재소녀 두기,/t/p/w94_and_h141_bestv2/5p6mGSXqzK9Btfb2kNUo9D29C2Y.jpg,"9월  8, 2021","16세에 이제 막 의사가 된 천재 소녀, 라헬라 ‘두기’ 카메알로하가 좋은 의사, 성숙한 어른이 되려고 애쓰는 과정을 담은 유쾌한 성장 스토리. 병원에서 라헬라의 천재성은 환자는 물론 동료의사까지 놀랄 정도여서 90년대 의학드라마 <천재소년 두기>(원제: Doogie Howser, M.D.)를 닮았다며 ‘두기’로 통한다. 집에는 자신을 끔찍이 사랑하는 아빠 베니와 내과과장이자 라헬라의 직속 상사로 딸의 초고속 성장을 두려워하는, 열정적인 워킹 맘 클라라가 있다. 라헬라는 너무나 다른 이 두 세계가 제대로 돌아가도록 균형을 잡으려고 애쓴다. 다행히 자유로운 영혼을 소유한 친오빠 카이와 특이한 남동생 브라이언 패트릭은 라헬라가 현실감을 갖게 만드는 고마운 존재이다. 라헬라의 절친으로 재치가 넘치는 스테파니는 언제나 분위기를 가볍게 만드는 재주가 있다. 멀쩡한 문을 놔두고 창문을 넘어 라헬라 방에 들어오는가 하면, 틱톡에 올릴 영상을 함께 찍고, 라헬라가 좋아하는 월터 얘기로 수다를 떤다. 동료 레지던트인 노엘라니와 찰스, 그리고 잘난 심장전문의 닥터 리는 라헬라의 나이와 관심사 사이의 너무나 큰 격차에 농담을 던지지만 라헬라의 전문적인 식견과 기술을 진심으로 존경한다. 엄마의 보살핌과 코믹한 오하나(가족/친구)의 지지 덕분에 라헬라는 오늘도 십대인 걸 만끽하고 자신의 길을 개척하기로 결심한다."
36,36,마블 스튜디오: 어셈블,/t/p/w94_and_h141_bestv2/v2BHRwtQVkt5fssLdo5MpFgHJPY.jpg,"3월 12, 2021","디즈니 플러스에서 스트리밍되는 포괄적인 다큐멘터리 시리즈로 손에 땀을 쥐게 하는 마블 스튜디오의 새로운 프로와 개봉 영화의 탄생을 기록하고 있다. '완다비전', '팔콘과 윈터 솔져', '로키'와 같은 작품의 제작 후기를 들어보고 촬영 장면도 독점적으로 공개한다. 영화 제작자들과 스칼릿 조핸슨, 제레미 러너 같은 스타들이 합류해 영화 '블랙위도우'와 '호크아이' 시리즈의 탄생을 상세히 설명한다. 어셈블드는 마블 영화 세계관의 다음 단계를 포괄적이며 심층적으로 검토한다."
37,37,아이스 에이지: 스크랫 이야기,/t/p/w94_and_h141_bestv2/da3q9KhFNL6aIqI6BwQuz1UDh1g.jpg,"4월 13, 2022",스크랫 주연의 새로운 '아이스 에이지' 6부작 애니메이션 어드벤쳐. 뾰족한 이빨을 가진 이 불운한 다람쥐는 말썽꾸러기이자 사랑스러운 아기 스크랫과 함께 아빠로써의 우여곡절을 겪으며 최고의 보물 도토리를 향해 때로는 경쟁을 하며 서로간의 돈독한 관계를 만들어 나간다.
