,id,title,genre_ids,vote_average,vote_count,poster_path
47,864370,Incantation,['Horror'],7.2,240,/t/p/w94_and_h141_bestv2/1l4hxdc7PyYgZ0DeZtC0WPU3GOI.jpg
48,760741,Beast,"['Thriller', 'Horror']",6.6,7,/t/p/w94_and_h141_bestv2/xp6EOh0HEN4bx4ot8UfcYnUpT8U.jpg
49,585083,Hotel Transylvania: Transformania,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Adventure']",7.1,1135,/t/p/w94_and_h141_bestv2/teCy1egGQa0y8ULJvlrDHQKnxBL.jpg
50,613093,Valley of the Dead,"['Comedy', 'Horror', 'War']",6.3,154,/t/p/w94_and_h141_bestv2/avokvOwhjVR9GgISsSSgb2A343G.jpg
51,438695,Sing 2,"['Animation', 'Comedy', 'Family', 'Music']",8.0,3039,/t/p/w94_and_h141_bestv2/xe8dVB2QiCxLWFV77V4dpZcOvYB.jpg
52,615469,Spiderhead,"['Science Fiction', 'Thriller']",5.8,820,/t/p/w94_and_h141_bestv2/5hTK0J9SGPLSTFwcbU0ELlJsnAY.jpg
53,768744,My Hero Academia: World Heroes' Mission,"['Animation', 'Action', 'Adventure', 'Science Fiction']",7.6,250,/t/p/w94_and_h141_bestv2/rqyVJKWCZCWwYK5eDVYyo0jauN6.jpg
54,900667,One Piece Film: Red,"['Animation', 'Adventure', 'Action', 'Fantasy']",7.4,28,/t/p/w94_and_h141_bestv2/q9Ul66mQDGpAvqUrTZdSMSzym5w.jpg
55,809107,Z-O-M-B-I-E-S 3,"['Music', 'Fantasy', 'Comedy', 'Science Fiction', 'Family', 'TV Movie']",7.8,193,/t/p/w94_and_h141_bestv2/egX5gH8UmRl2eLL4EMbJfm5p05d.jpg
56,661791,The Grandmother,['Horror'],5.9,237,/t/p/w94_and_h141_bestv2/llhiY0rV6RWU1LOdy9Zljhf7cXm.jpg
57,801071,The Jack in the Box: Awakening,['Horror'],5.7,66,/t/p/w94_and_h141_bestv2/3Ib8vlWTrAKRrTWUrTrZPOMW4jp.jpg
58,169,Predator 2,"['Science Fiction', 'Action', 'Thriller']",6.2,2438,/t/p/w94_and_h141_bestv2/wG0ex0jv9ao6q3TDGU7SmueVvAI.jpg
59,629542,The Bad Guys,"['Animation', 'Comedy', 'Family', 'Crime']",7.8,906,/t/p/w94_and_h141_bestv2/x6KSvale7iuxLhsrEfhYNoICyfK.jpg
60,761898,Sword Art Online the Movie -Progressive- Aria of a Starless Night,"['Animation', 'Action', 'Fantasy', 'Science Fiction']",8.3,86,/t/p/w94_and_h141_bestv2/66Vx0C2cVL0mym0tfKgF4gmcuhA.jpg
61,698948,Thirteen Lives,"['Drama', 'Thriller']",8.0,221,/t/p/w94_and_h141_bestv2/yi5KcJqFxy0D6yP8nCfcF8gJGg5.jpg
62,106,Predator,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",7.5,6355,/t/p/w94_and_h141_bestv2/cclEYZkTPzy35ImbozELQrbFIjE.jpg
